名称,citycode
鄂托克旗,477
杭锦旗,477
乌审旗,477
伊金霍洛旗,477
呼伦贝尔市,470
呼伦贝尔市市辖区,470
海拉尔区,470
扎赉诺尔区,470
阿荣旗,470
莫力达瓦达斡尔族自治旗,470
鄂伦春自治旗,470
鄂温克族自治旗,470
陈巴尔虎旗,470
新巴尔虎左旗,470
新巴尔虎右旗,470
满洲里市,470
牙克石市,470
扎兰屯市,470
额尔古纳市,470
根河市,470
巴彦淖尔市,478
巴彦淖尔市市辖区,478
临河区,478
五原县,478
磴口县,478
乌拉特前旗,478
乌拉特中旗,478
乌拉特后旗,478
杭锦后旗,478
乌兰察布市,474
乌兰察布市市辖区,474
集宁区,474
卓资县,474
化德县,474
商都县,474
兴和县,474
凉城县,474
察哈尔右翼前旗,474
察哈尔右翼中旗,474
察哈尔右翼后旗,474
四子王旗,474
丰镇市,474
兴安盟,482
乌兰浩特市,482
阿尔山市,482
科尔沁右翼前旗,482
科尔沁右翼中旗,482
扎赉特旗,482
突泉县,482
锡林郭勒盟,479
二连浩特市,479
锡林浩特市,479
阿巴嘎旗,479
苏尼特左旗,479
苏尼特右旗,479
东乌珠穆沁旗,479
西乌珠穆沁旗,479
太仆寺旗,479
镶黄旗,479
正镶白旗,479
正蓝旗,479
多伦县,479
阿拉善盟,483
阿拉善左旗,483
阿拉善右旗,483
额济纳旗,483
辽宁省,
沈阳市,24
沈阳市市辖区,24
和平区,24
沈河区,24
大东区,24
皇姑区,24
铁西区,24
苏家屯区,24
浑南区,24
沈北新区,24
于洪区,24
辽中区,24
康平县,24
法库县,24
新民市,24
大连市,411
大连市市辖区,411
中山区,411
西岗区,411
沙河口区,411
甘井子区,411
旅顺口区,411
金州区,411
普兰店区,411
长海县,411
瓦房店市,411
庄河市,411
鞍山市,412
鞍山市市辖区,412
铁东区,412
铁西区,412
立山区,412
千山区,412
台安县,412
岫岩满族自治县,412
海城市,412
抚顺市,413
抚顺市市辖区,413
新抚区,413
东洲区,413
望花区,413
顺城区,413
抚顺县,413
新宾满族自治县,413
清原满族自治县,413
本溪市,414
本溪市市辖区,414
平山区,414
溪湖区,414
明山区,414
南芬区,414
本溪满族自治县,414
桓仁满族自治县,414
丹东市,415
丹东市市辖区,415
元宝区,415
振兴区,415
振安区,415
宽甸满族自治县,415
东港市,415
凤城市,415
锦州市,416
锦州市市辖区,416
古塔区,416
凌河区,416
太和区,416
黑山县,416
义县,416
凌海市,416
北镇市,416
营口市,417
营口市市辖区,417
站前区,417
西市区,417
鲅鱼圈区,417
老边区,417
盖州市,417
大石桥市,417
阜新市,418
阜新市市辖区,418
海州区,418
新邱区,418
太平区,418
清河门区,418
细河区,418
阜新蒙古族自治县,418
彰武县,418
辽阳市,419
辽阳市市辖区,419
白塔区,419
文圣区,419
宏伟区,419
弓长岭区,419
太子河区,419
辽阳县,419
灯塔市,419
盘锦市,427
盘锦市市辖区,427
双台子区,427
兴隆台区,427
大洼区,427
盘山县,427
铁岭市,410
铁岭市市辖区,410
银州区,410
清河区,410
铁岭县,410
西丰县,410
昌图县,410
调兵山市,410
开原市,410
朝阳市,421
朝阳市市辖区,421
双塔区,421
龙城区,421
朝阳县,421
建平县,421
喀喇沁左翼蒙古族自治县,421
北票市,421
凌源市,421
葫芦岛市,429
葫芦岛市市辖区,429
连山区,429
龙港区,429
南票区,429
绥中县,429
建昌县,429
兴城市,429
吉林省,
长春市,431
长春市市辖区,431
南关区,431
宽城区,431
朝阳区,431
二道区,431
绿园区,431
双阳区,431
九台区,431
农安县,431
榆树市,431
德惠市,431
吉林市,432
吉林市市辖区,432
昌邑区,432
龙潭区,432
船营区,432
丰满区,432
永吉县,432
蛟河市,432
桦甸市,432
舒兰市,432
磐石市,432
四平市,434
四平市市辖区,434
铁西区,434
铁东区,434
梨树县,434
伊通满族自治县,434
公主岭市,434
双辽市,434
辽源市,437
辽源市市辖区,437
龙山区,437
西安区,437
东丰县,437
东辽县,437
通化市,435
通化市市辖区,435
东昌区,435
二道江区,435
通化县,435
辉南县,435
柳河县,435
梅河口市,435
集安市,435
白山市,439
白山市市辖区,439
浑江区,439
江源区,439
抚松县,439
靖宇县,439
长白朝鲜族自治县,439
临江市,439
松原市,438
松原市市辖区,438
宁江区,438
前郭尔罗斯蒙古族自治县,438
长岭县,438
乾安县,438
扶余市,438
白城市,436
白城市市辖区,436
洮北区,436
镇赉县,436
通榆县,436
洮南市,436
大安市,436
延边朝鲜族自治州,1433
延吉市,1433
图们市,1433
敦化市,1433
珲春市,1433
龙井市,1433
和龙市,1433
汪清县,1433
安图县,1433
黑龙江省,
哈尔滨市,451
哈尔滨市市辖区,451
道里区,451
南岗区,451
道外区,451
平房区,451
松北区,451
香坊区,451
呼兰区,451
阿城区,451
双城区,451
依兰县,451
方正县,451
宾县,451
巴彦县,451
木兰县,451
通河县,451
延寿县,451
尚志市,451
五常市,451
齐齐哈尔市,452
齐齐哈尔市市辖区,452
龙沙区,452
建华区,452
铁锋区,452
昂昂溪区,452
富拉尔基区,452
碾子山区,452
梅里斯达斡尔族区,452
龙江县,452
依安县,452
泰来县,452
甘南县,452
富裕县,452
克山县,452
克东县,452
拜泉县,452
讷河市,452
鸡西市,467
鸡西市市辖区,467
鸡冠区,467
恒山区,467
滴道区,467
梨树区,467
城子河区,467
麻山区,467
鸡东县,467
虎林市,467
密山市,467
鹤岗市,468
鹤岗市市辖区,468
向阳区,468
工农区,468
南山区,468
兴安区,468
东山区,468
兴山区,468
萝北县,468
绥滨县,468
双鸭山市,469
双鸭山市市辖区,469
尖山区,469
岭东区,469
四方台区,469
宝山区,469
集贤县,469
友谊县,469
宝清县,469
饶河县,469
大庆市,459
大庆市市辖区,459
萨尔图区,459
龙凤区,459
让胡路区,459
红岗区,459
大同区,459
肇州县,459
肇源县,459
林甸县,459
杜尔伯特蒙古族自治县,459
伊春市,458
伊春市市辖区,458
伊春区,458
南岔区,458
友好区,458
西林区,458
翠峦区,458
新青区,458
美溪区,458
金山屯区,458
五营区,458
乌马河区,458
汤旺河区,458
带岭区,458
乌伊岭区,458
红星区,458
上甘岭区,458
嘉荫县,458
铁力市,458
佳木斯市,454
佳木斯市市辖区,454
向阳区,454
前进区,454
东风区,454
郊区,454
桦南县,454
桦川县,454
